prospect_id,agency_name,city_region,agency_type,fit_score,fit_reason,personalization_hook,sample_client_niche,competitors_to_watch,outreach_channel,outreach_status,next_action,public_lookup_query,notes
P001,Page Pros - Local SEO Agency,Toronto ON,Local SEO agency,5,"Strong local SEO fit; high public review count; likely understands client reporting and local-service retainers.","You already sell local SEO into markets where clients need sharper weekly visibility and reputation context.",Toronto roofing contractor,"Universal Roofs; Alba Tech Roofing; Available Roofing",Website contact form + LinkedIn,not_started,"Find founder/owner/contact page and send sample brief offer.","Page Pros Local SEO Agency Toronto contact","Top priority. Use Toronto roofing pilot as immediately relevant sample."
P002,Local SEO Search,Toronto ON,Local SEO agency,5,"Strong local SEO and web/design services fit; visible public reviews; likely works with SMB service clients.","Your agency already operates in the exact local SEO lane where weekly competitor/reputation signals are useful.",Toronto dental clinic,"local dental competitors in Toronto",Website contact form + LinkedIn,not_started,"Find owner/contact and pitch a one-client sample.","Local SEO Search Toronto contact","Strong fit for local SEO sample packet."
P003,Reputation.ca Reputation Management,Toronto ON,Reputation management / PR,5,"Direct reputation-management fit; reviews and online reputation are core to the Brief Factory offer.","Your reputation-management work maps directly to weekly evidence-backed client monitoring briefs.",Toronto med spa,"local med spa competitors in Toronto",Website contact form + LinkedIn,not_started,"Find contact page and pitch reputation-focused sample.","Reputation.ca Reputation Management contact","Top reputation-management target."
P004,dNovo Group,Toronto ON,SEO / digital marketing agency,5,"Known Toronto digital marketing and SEO agency serving professional services; good fit for legal/healthcare client briefs.","Your work with professional services clients is a clean fit for weekly competitor and content-gap intelligence.",Toronto personal injury law firm,"local PI law competitors in Toronto",Website contact form + LinkedIn,not_started,"Find current contact page and pitch legal-services sample.","dNovo Group Toronto SEO contact","Use legal-services sample angle, not roofing."
P005,Local Service Booster SEO,Toronto ON,Local SEO agency,5,"Name and categories indicate local-service SEO focus; strong fit for home-services pilot.","Brief Factory is built for local-service SEO reporting, which appears to be your lane.",Toronto HVAC company,"local HVAC competitors in Toronto",Website contact form + LinkedIn,not_started,"Find contact and send short outreach.","Local Service Booster SEO Toronto contact","Good first-wave prospect."
P006,Pivot Reputation Management,Toronto ON,Reputation management,5,"Public description centers on protecting, generating, and repairing reviews; direct product fit.","Your protect/generate/repair reputation positioning is exactly where weekly evidence briefs can add value.",Toronto dental clinic,"local dental competitors in Toronto",Website contact form + LinkedIn,not_started,"Find contact page; pitch review/reputation sample.","Pivot Reputation Management Toronto contact","High conceptual fit despite limited public reviews."
P007,Propeller - Local SEO Toronto,Toronto ON,Local SEO / marketing agency,4,"Local SEO Toronto positioning; likely relevant though public review count is low.","You are positioned around local SEO in Toronto, so a sample local-service brief should be easy to judge.",Toronto roofing contractor,"Universal Roofs; Alba Tech Roofing; Available Roofing",Website contact form + LinkedIn,not_started,"Find website and owner/contact.","Propeller Local SEO Toronto contact","Use existing roofing pilot sample."
P008,Rich-Content,Toronto ON,Marketing / content agency,4,"Content and marketing agency fit; likely values client-ready insights and talking points.","A weekly intelligence packet can turn market monitoring into client-ready content angles.",Toronto home remodeling company,"local renovation competitors in Toronto",Website contact form + LinkedIn,not_started,"Find contact and pitch content-angle sample.","Rich-Content Toronto marketing agency contact","Good for content strategy angle."
P009,Trueblu Content Inc.,Toronto ON,Marketing/content agency,4,"Content agency fit; can use brief as recurring source-backed idea and strategy layer.","Your content work could be supported by weekly source-backed client intelligence packets.",Toronto boutique fitness studio,"local boutique fitness competitors",Website contact form + LinkedIn,not_started,"Find contact and pitch a content brief sample.","Trueblu Content Inc Toronto contact","Good sample niche: boutique fitness or local service."
P010,Pierce Content Marketing,Toronto ON,Content marketing agency,4,"Content marketing agency; likely uses research and client messaging.","Brief Factory can turn scattered research into weekly client-ready content and strategy signals.",Toronto accounting firm,"local accounting firm competitors",Website contact form + LinkedIn,not_started,"Find contact and pitch sample.","Pierce Content Marketing Toronto contact","Good for professional-services sample."
P011,Create Content Canada,Toronto ON,Content/marketing consultant,4,"Small content/marketing consultant; likely needs leverage and client-facing insights.","A white-label weekly brief can help a small content team look more proactive without extra research hours.",Toronto restaurant group,"local restaurant group competitors",Website contact form + LinkedIn,not_started,"Find owner/contact and send short offer.","Create Content Canada Toronto contact","Likely solo/small team."
P012,Vancouver Local SEO,Vancouver BC,Local SEO agency,5,"Local SEO category match; strong service fit for recurring client intelligence.","You already sell local SEO, so weekly competitor and GBP-style observations should feel directly useful.",Vancouver roofing contractor,"local roofing competitors in Vancouver",Website contact form + LinkedIn,not_started,"Find contact and pitch local-service sample.","Vancouver Local SEO contact","Good non-Toronto local SEO target."
P013,Lead Local SEO,Vancouver BC,Local SEO / marketing agency,5,"Local SEO and marketing consultant categories; public reviews mention website/audit style service.","Your audit-driven local SEO work is a natural fit for weekly intelligence packets.",Vancouver dental clinic,"local dental competitors in Vancouver",Website contact form + LinkedIn,not_started,"Find contact and pitch sample.","Lead Local SEO Vancouver contact","High fit."
P014,One Reputation,Vancouver BC,PR / reputation,5,"Reputation/PR fit; product maps directly to reputation and public-signal monitoring.","Your PR/reputation positioning is exactly where evidence notes and client-safe caveats matter.",Vancouver med spa,"local med spa competitors in Vancouver",Website contact form + LinkedIn,not_started,"Find contact and pitch reputation sample.","One Reputation Vancouver contact","Strong reputation-management fit."
P015,Reputation Protection Online,Vancouver BC,Reputation management / internet marketing,5,"Reputation-focused name and category; likely understands review and profile monitoring pain.","A weekly reputation signal brief could fit naturally beside your reputation protection work.",Vancouver home services company,"local home-service competitors",Website contact form + LinkedIn,not_started,"Find contact and pitch sample.","Reputation Protection Online Vancouver contact","Good reputation angle."
P016,Local SEO Vancouver,Vancouver BC,Local SEO / web design / marketing,4,"Local SEO specialist; likely SMB/local business focus.","Your local SEO packages could be strengthened with recurring client intelligence notes.",Vancouver HVAC company,"local HVAC competitors in Vancouver",Website contact form + LinkedIn,not_started,"Find owner/contact.","Local SEO Vancouver contact","Useful but may be small/solo."
P017,PiTech,Vancouver BC,Web design / SEO agency,4,"Web design and SEO positioning; good fit for local-service client brief sample.","Your website/SEO work could use weekly source-backed content and competitor signals.",Vancouver contractor,"local contractor competitors in Vancouver",Website contact form + LinkedIn,not_started,"Find contact and pitch one-client sample.","PiTech Web Design Vancouver SEO Agency contact","Good web+SEO fit."
P018,Exit Strategy Content,Vancouver BC,Marketing/content agency,4,"Content agency; likely receptive to research-backed content angles and client reports.","Brief Factory can feed client-ready content strategy without making your team research from scratch.",B2B services client,"local B2B service competitors",Website contact form + LinkedIn,not_started,"Find contact page.","Exit Strategy Content Vancouver contact","Content-oriented fit."
P019,Infused Content,Vancouver BC,Content/marketing,4,"Marketing/content shop; likely benefits from recurring source-backed brief ideas.","A weekly intelligence brief can become a repeatable content and reporting asset for your clients.",Vancouver real estate brokerage,"local brokerage competitors",Website contact form + LinkedIn,not_started,"Find contact and send sample offer.","Infused Content Vancouver contact","Content angle."
P020,Greymouse Reputation Management,Gibsons BC,Reputation management,4,"Reputation-management fit; likely smaller operator where white-label support may help.","Your reputation work could be supported by weekly evidence-backed reputation and competitor notes.",Local service business,"local service competitors",Website contact form + LinkedIn,not_started,"Find contact and pitch reputation sample.","Greymouse Reputation Management contact","Maybe smaller market."
P021,CTRL ALT BOOM Web Design & Local SEO,Calgary AB,Web design / local SEO,5,"Clear local SEO and web design positioning; strong local-service fit.","You are already in web design and local SEO, where a weekly client intelligence packet can support reporting and upsells.",Calgary roofing contractor,"local roofing competitors in Calgary",Website contact form + LinkedIn,not_started,"Find owner/contact and send sample offer.","CTRL ALT BOOM Web Design Local SEO Calgary contact","Strong local-service prospect."
P022,Beanstalk! Growth Marketing & PR,Calgary AB,Growth marketing / PR,5,"Marketing, PR, branding, internet marketing categories; good multi-service agency fit.","Your growth marketing and PR mix is a strong fit for a white-label client intelligence layer.",Calgary home services company,"local home-service competitors",Website contact form + LinkedIn,not_started,"Find contact and pitch agency sample.","Beanstalk Growth Marketing PR Calgary contact","Strong fit for multi-service agency."
P023,Wizardworks SEO,Calgary AB,SEO / marketing agency,4,"SEO-specific prospect; likely understands value of competitor and content signals.","Your SEO positioning makes a weekly client intelligence packet easy to evaluate.",Calgary dental clinic,"local dental competitors in Calgary",Website contact form + LinkedIn,not_started,"Find contact and pitch sample.","Wizardworks SEO Calgary contact","Good SEO fit."
P024,Steeped Content,Calgary AB,Content marketing agency,4,"Content marketing agency; useful for source-backed content and strategy briefs.","Brief Factory can turn monitoring into recurring content and client conversation prompts.",Calgary accounting firm,"local accounting competitors",Website contact form + LinkedIn,not_started,"Find contact and pitch sample.","Steeped Content Calgary contact","Content angle."
P025,PR Consult,Edmonton AB,PR firm,4,"PR firm with strong public rating; may value monitored evidence, reputation, and client advisory briefs.","Your PR advisory work is a natural fit for weekly evidence-backed client intelligence.",Edmonton professional services client,"local professional services competitors",Website contact form + LinkedIn,not_started,"Find contact and pitch PR-focused sample.","PR Consult Edmonton contact","Good PR fit; verify service scope before outreach."
